centro_tipo_descripcion|centro_nombre|distancia
CONSERVATORIO PROFESIONAL DE MÚSICA|AMANIEL|917.4012208406963
CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA|MARIN AMAT|52.20153254455275
CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA|NEBRIJA-ROSALES|34.66987164671943
CENTRO AUTORIZADO PROFESIONAL  DE MÚSICA Y DANZA|No hay centros con distancia mínima|0.0
CENTRO AUTORIZADO ELEMENTAL DE MÚSICA|MUSICAL MARISA|309.7434422227531
ESCUELA SUPERIOR DE ARTE DRAMÁTICO|No hay centros con distancia mínima|0.0
COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA|SAN SEBASTIAN|0.0
CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA|SANTA MARIA DEL VALLE CEP|674.7933016857829
ESCUELA MUNICIPAL DE EDUCACIÓN DE PERSONAS ADULTAS|ESCUELA DE ADULTOS DE ARGANZUELA|2461.6874293865985
CENTRO PRIVADO DE EDUCACIÓN ESPECIAL|LA PURISIMA|0.0
INSTITUTO DE EDUCACIÓN SECUNDARIA|EMPERATRIZ MARIA DE AUSTRIA|0.0
CONSERVATORIO PROFESIONAL DE DANZA|REAL CONSERVATORIO PROFESIONAL DE DANZA MARIEMMA|4861.6978515740775
ESCUELA DE ARTE|FRANCISCO ALCANTARA CERAMICA|1558.288805067918
COLEGIO DE EDUCACIÓN PRIMARIA|No hay centros con distancia mínima|0.0
CENTRO AUTORIZADO DE ENSEÑANZAS DEPORTIVAS GRADO MEDIO Y SUPERIOR|CIUDAD DEL FUTBOL|26521.260339584165
CONSERVATORIO SUPERIOR DE MÚSICA|No hay centros con distancia mínima|0.0
CENTRO AUTORIZADO PROFESIONAL DE DANZA|No hay centros con distancia mínima|0.0
CENTRO PÚBLICO DE EDUCACIÓN ADULTOS ESTABLECIMIENTOS PENITENCIARIOS|JOSE HIERRO|0.0
ESCUELA MUNICIPAL DE MÚSICA|VILLA DE HUMANES|2551.221276173433
CENTRO PÚBLICO DE FORMACIÓN PROFESIONAL ESPECÍFICA|No hay centros con distancia mínima|0.0
SECCIÓN DE INSTITUTO DE EDUCACIÓN SECUNDARIA|SECCION DEL IES CARPE DIEM EN COLMENAR OREJA|13453.571310250672
ESCUELA INFANTIL|ZALEO|124.61942063739504
COLEGIO DE EDUCACIÓN ESPECIAL|FRAY PEDRO PONCE DE LEON|2305.8293518818778
CENTRO AUTORIZADO PROFESIONAL DE MÚSICA|PROGRESO MUSICAL|952.0635482991669
ESCUELA SUPERIOR DE CANTO|No hay centros con distancia mínima|0.0
CENTRO PRIVADO DE EDUCACIÓN DE PERSONAS ADULTAS|PRACTIVOX|1789.7443951581465
ESCUELA INFANTIL PRIVADA|CASCABEL|0.0
CENTRO PRIVADO DE EDUCACIÓN PRIMARIA|No hay centros con distancia mínima|0.0
ESCUELA  INFANTIL-CASA DE NIÑOS|MORATA DE TAJUÑA  Nº 1|266.32686683847726
CENTRO PÚBLICO DE EDUCACIÓN DE PERSONAS ADULTAS|MONCLOA|739.8466057231053
AULA HOSPITALARIA|HOSPITAL DEL NIÑO JESUS|940.558344814398
CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS ELEMENTALES Y PROFESIONALES DE MÚSICA, EDUCACIÓN PRIMARIA Y SECUNDARIA|No hay centros con distancia mínima|0.0
CENTRO DOCENTE EXTRANJERO EN ESPAÑA|SCUOLA STATALE ITALIANA DE MADRID (ITALIANO)|0.0
ESCUELA MUNICIPAL DE MÚSICA Y DANZA|VELILLA|2679.391722014532
ZONA CASAS DE NIÑOS|SUR-3, NAVAS DEL REY|2881.819737596368
CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|AMANECER|8.602325267042627
UNIDAD DE FORMACIÓN E INSERCIÓN LABORAL|TIERRUCA|1693.1922513406444
UNIVERSIDAD|No hay centros con distancia mínima|0.0
CENTRO PRIVADO DE EDUCACIÓN INFANTIL|JAVIER GARCIA PITA|432.3343613454753
ESCUELA OFICIAL DE IDIOMAS|E.O.I. DE MADRID-EMBAJADORES|1996.6454367263107
ESCUELA SUPERIOR DE CONSERVACIÓN Y RESTAURACIÓN BIENES CULTURALES|No hay centros con distancia mínima|0.0
CENTRO PÚBLICO INTEGRADO DE FORMACIÓN PROFESIONAL|No hay centros con distancia mínima|0.0
CENTRO AUTORIZADO SUPERIOR DE DISEÑO|No hay centros con distancia mínima|0.0
CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA|AFUERA I|202.08166665979377
COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA|VELAZQUEZ|1521.9109698007962
ESTABLECIMIENTO ADMINISTRATIVO|DIRECCION AREA TERRITORIAL MADRID-CAPITAL|13497.056160511447
